Latitude,Longitude,Proba
45.60768981529091,-73.86821759247555,0.82
45.60761111158512,-73.86843518503333,0.84
45.60754166713885,-73.86758796294666,0.81
45.60752777824959,-73.86756481480222,0.81
45.60749537084132,-73.86751851851332,0.81
45.60742129676529,-73.86891666643777,0.82
45.60739814861653,-73.86895833309778,0.82
45.60725463009422,-73.86911111085111,0.81
45.60725000046446,-73.86912037010889,0.84
45.60725000046446,-73.86911574048,0.82
45.60724537083471,-73.86912499973778,0.81
45.60724074120496,-73.86913425899556,0.82
45.607236111575205,-73.86914814788221,0.81
45.607236111575205,-73.86914351825332,0.82
45.607226852315705,-73.86927314786222,0.81
45.607138889350416,-73.8694444441311,0.81
45.60713425972066,-73.86945370338888,0.81
45.6070925930529,-73.86953240708,0.81
45.60705555601488,-73.86770833329777,0.82
45.607032407866114,-73.86964351817333,0.82
45.60695833379008,-73.86981018481333,0.82
45.60695833379008,-73.86980555518444,0.83
45.60695833379008,-73.86979629592666,0.83
45.60695833379008,-73.86979166629777,0.86
45.60695370416033,-73.86980555518444,0.81
45.60694907453058,-73.86981944407111,0.82
45.606935185641326,-73.86966666631777,0.81
45.60685185230579,-73.86986111073111,0.83
45.60684259304628,-73.86974999963778,0.81
45.60643055599835,-73.86944907376,0.82
45.606425926368594,-73.86943981450221,0.81
45.60619444488099,-73.86924074046,0.81
45.605976852282645,-73.86879166645777,0.81
45.605972222652895,-73.86879629608666,0.81
45.605972222652895,-73.8687824072,0.82
45.60541666708264,-73.8676527777511,0.81
45.60538425967438,-73.86778240736,0.82
